DANC1312,DRAM2713,SPAN2113,PBIO1114,HON 2973,PBIO1114B,.
COMM1113,ECON1123,ENGL1113,HIST1493,MATH1643,ECON1123B,COMM1113B
CHEM1315,MATH1503,P SC1113,ENGL1113,P SC1113B,CHEM1315B,.
ANTH1913,MUNM1743,LAT 1115,BIOL1134,BIOL1134B,.,.
CHEM1315,ENGL1213,MATH2924,PHIL1263,CHEM1315B,MATH2924B,.
DANC2512,METR2603,JMC 1013,FR  1115,HON 2973,.,.
HON 2973,LAT 1115,ENGR1411,C S 1323,MATH1914,MATH1914B,C S 1323B
AHS 1400,MATH1503,MUNM1113,ANTH1113,BIOL1114,BIOL1121,.
CHEM1315,AHS 1400,MATH1823,SPAN1225,UNIV1210,CHEM1315B,.
CHEM1315,MATH2423,FR  2113,PSY 1113,ENGR1411,MATH2423B,CHEM1315B
CHEM1315,ENGR1411,MATH1914,MUNM1113,MATH1914B,CHEM1315B,ENGR1411B
DANC2412,AHS 1400,UCOL1002,BIOL1114,WGS 1003,BIOL1121,.
ECON1123,SPAN2223,SOC 1113,MATH1643,MUNM1113,ECON1123B,.
CHEM3053,A HI1113,HIST2013,MUTE1130,ENGR1411,BIOL1114,BIOL1121
MUNM1113,MUTE1130,CHEM1315,MATH1914,HON 2973,MATH1914B,CHEM1315B
LAT 1315,MUNM2313,MUTE1130,SOC 1113,ANTH1823,.,.
CHEM1315,ENGL1113,DRAM1713,MATH1523,ENGR1411,DRAM1713B,CHEM1315B
CHEM1315,ENGR1411,FMS 1013,MATH1914,CHEM1315B,MATH1914B,ENGR1411B
AHS 1400,SOC 1113,MATH1743,BIOL1124,ANTH1823,BIOL1124B,.
ENGL1113,AHS 1400,MATH1503,UCOL1002,BIOL1114,BIOL1121,.
CHEM1315,MATH2423,ENGR1411,SOC 1523,CHEM1315B,MATH2423B,ENGR1411B
CHEM1415,AHS 1400,MATH1523,PHIL1013,PSY 1113,CHEM1415B,.
CHEM1315,UCOL1002,MATH1503,PSY 1113,ENGL1113,CHEM1315B,.
B AD1001,COMM1113,ECON1123,DRAM2713,HES 1661,MATH1743,COMM1113B
ECON1113,ENGL1113,MATH1643,UCOL1002,PHIL1273,ECON1113B,PHIL1273B
CHEM1315,DANC1813,MUNM1143,BIOL1124,CHEM1315B,BIOL1124B,.
COMM1113,ECON1113,HES 1221,MATH1643,UCOL1002,ECON1113B,COMM1113B
CHEM1315,ENGL1113,UCOL1022,MATH1914,CHEM1315B,MATH1914B,.
SPAN1225,FMS 1013,ENGL1213,BIOL1114,.,.,.
CHEM1315,ENGL1213,MATH1523,UNIV1210,ENGR1411,ANTH1113,CHEM1315B
HES 1121,SOC 1113,P SC1113,UCOL1002,PSY 1113,P SC1113B,.
ENGL1113,PSY 1113,P SC1113,JMC 4970,MUNM1113,DMAT0113,P SC1113B
ENGL1113,MATH1503,SPAN1115,BIOL1114,BIOL1121,.,.
CHEM3053,BIOL1134,PSY 2603,PSY 2403,BIOL1134B,.,.
B AD1001,COMM1113,ECON1123,MATH1643,P SC1113,UCOL1002,ECON1123B
COMM1113,MATH1503,SOC 1113,BIOL1114,BIOL1121,COMM1113B,.
AHS 1400,MATH1643,BIOL1124,UCOL1002,SPAN1115,BIOL1124B,.
SOC 1113,UCOL1002,BIOL1114,MATH1523,BIOL1121,.,.
CHEM1315,A HI1113,MATH1523,UNIV1210,ENGR1411,HIST1483,HIST1483B
MATH1523,P SC1113,ARCH1121,ARCH1112,ARCH1154,ENGL1213,LING1203
CHEM1315,AHS 1400,MUTE1130,PSY 2403,RELS2403,CHEM1315B,.
CHEM1315,MATH1823,FR  1115,CHEM1315B,MATH1823B,.,.
COMM1113,MATH1643,ECON1123,METR1014,METR1014B,COMM1113B,.
A HI1113,ITAL1115,BIOL1124,MATH1643,BIOL1124B,.,.
CHEM3053,IAS 2003,PHYS2514,CH E2033,ENGR1411,CH E2002,PHYS2514B
CHEM1315,P SC1113,FMS 1013,ENGR1411,MATH1914,P SC1113B,CHEM1315B
ENGL1113,MUNM1113,PSY 2003,UCOL1002,RELS1113,PSY 2003B,.
MATH1743,MUNM2313,SPAN1115,BIOL1124,BIOL1124B,.,.
CHEM1315,MATH1523,MUNM1743,BIOL1121,PSY 1113,UCOL1022,CHEM1315B
JMC 1013,FR  1115,UCOL1002,COMM2613,PHIL1013,.,.
ECON1113,DRAM2713,MATH1643,SOC 1113,PHIL1273,ECON1113B,PHIL1273B
